label,uri
rpki-ghostbusters,https://www.iana.org/assignments/media-types/application/rpki-ghostbusters
rpki-manifest,https://www.iana.org/assignments/media-types/application/rpki-manifest
rpki-publication,https://www.iana.org/assignments/media-types/application/rpki-publication
rpki-roa,https://www.iana.org/assignments/media-types/application/rpki-roa
rpki-updown,https://www.iana.org/assignments/media-types/application/rpki-updown
rtf,https://www.iana.org/assignments/media-types/application/rtf
rtploopback,https://www.iana.org/assignments/media-types/application/rtploopback
rtx,https://www.iana.org/assignments/media-types/application/rtx
samlassertion+xml,https://www.iana.org/assignments/media-types/application/samlassertion+xml
samlmetadata+xml,https://www.iana.org/assignments/media-types/application/samlmetadata+xml
sarif+json,https://www.iana.org/assignments/media-types/application/sarif+json
sbe,https://www.iana.org/assignments/media-types/application/sbe
sbml+xml,https://www.iana.org/assignments/media-types/application/sbml+xml
scaip+xml,https://www.iana.org/assignments/media-types/application/scaip+xml
scim+json,https://www.iana.org/assignments/media-types/application/scim+json
scvp-cv-request,https://www.iana.org/assignments/media-types/application/scvp-cv-request
scvp-cv-response,https://www.iana.org/assignments/media-types/application/scvp-cv-response
scvp-vp-request,https://www.iana.org/assignments/media-types/application/scvp-vp-request
scvp-vp-response,https://www.iana.org/assignments/media-types/application/scvp-vp-response
sdp,https://www.iana.org/assignments/media-types/application/sdp
secevent+jwt,https://www.iana.org/assignments/media-types/application/secevent+jwt
senml-etch+cbor,https://www.iana.org/assignments/media-types/application/senml-etch+cbor
senml-etch+json,https://www.iana.org/assignments/media-types/application/senml-etch+json
senml-exi,https://www.iana.org/assignments/media-types/application/senml-exi
senml+cbor,https://www.iana.org/assignments/media-types/application/senml+cbor
senml+json,https://www.iana.org/assignments/media-types/application/senml+json
senml+xml,https://www.iana.org/assignments/media-types/application/senml+xml
sensml-exi,https://www.iana.org/assignments/media-types/application/sensml-exi
sensml+cbor,https://www.iana.org/assignments/media-types/application/sensml+cbor
sensml+json,https://www.iana.org/assignments/media-types/application/sensml+json
sensml+xml,https://www.iana.org/assignments/media-types/application/sensml+xml
sep-exi,https://www.iana.org/assignments/media-types/application/sep-exi
sep+xml,https://www.iana.org/assignments/media-types/application/sep+xml
session-info,https://www.iana.org/assignments/media-types/application/session-info
set-payment,https://www.iana.org/assignments/media-types/application/set-payment
set-payment-initiation,https://www.iana.org/assignments/media-types/application/set-payment-initiation
set-registration,https://www.iana.org/assignments/media-types/application/set-registration
set-registration-initiation,https://www.iana.org/assignments/media-types/application/set-registration-initiation
SGML,https://www.iana.org/assignments/media-types/application/SGML
sgml-open-catalog,https://www.iana.org/assignments/media-types/application/sgml-open-catalog
shf+xml,https://www.iana.org/assignments/media-types/application/shf+xml
sieve,https://www.iana.org/assignments/media-types/application/sieve
simple-filter+xml,https://www.iana.org/assignments/media-types/application/simple-filter+xml
simple-message-summary,https://www.iana.org/assignments/media-types/application/simple-message-summary
simpleSymbolContainer,https://www.iana.org/assignments/media-types/application/simpleSymbolContainer
sipc,https://www.iana.org/assignments/media-types/application/sipc
slate,https://www.iana.org/assignments/media-types/application/slate
smil - OBSOLETED in favor of application/smil+xml,https://www.iana.org/assignments/media-types/application/smil
smil+xml,https://www.iana.org/assignments/media-types/application/smil+xml
smpte336m,https://www.iana.org/assignments/media-types/application/smpte336m
soap+fastinfoset,https://www.iana.org/assignments/media-types/application/soap+fastinfoset
soap+xml,https://www.iana.org/assignments/media-types/application/soap+xml
sparql-query,https://www.iana.org/assignments/media-types/application/sparql-query
sparql-results+xml,https://www.iana.org/assignments/media-types/application/sparql-results+xml
spirits-event+xml,https://www.iana.org/assignments/media-types/application/spirits-event+xml
sql,https://www.iana.org/assignments/media-types/application/sql
srgs,https://www.iana.org/assignments/media-types/application/srgs
srgs+xml,https://www.iana.org/assignments/media-types/application/srgs+xml
sru+xml,https://www.iana.org/assignments/media-types/application/sru+xml
ssml+xml,https://www.iana.org/assignments/media-types/application/ssml+xml
stix+json,https://www.iana.org/assignments/media-types/application/stix+json
swid+xml,https://www.iana.org/assignments/media-types/application/swid+xml
tamp-apex-update,https://www.iana.org/assignments/media-types/application/tamp-apex-update
tamp-apex-update-confirm,https://www.iana.org/assignments/media-types/application/tamp-apex-update-confirm
tamp-community-update,https://www.iana.org/assignments/media-types/application/tamp-community-update
tamp-community-update-confirm,https://www.iana.org/assignments/media-types/application/tamp-community-update-confirm
tamp-error,https://www.iana.org/assignments/media-types/application/tamp-error
tamp-sequence-adjust,https://www.iana.org/assignments/media-types/application/tamp-sequence-adjust
